,ID,Nationality,Age,Position,Height,Weight
201,192593,Croatia,33,GK,192.024,83.90022675736961
202,190547,Poland,30,RCB,192.024,79.81859410430839
203,189712,Netherlands,28,CDM,185.928,79.81859410430839
204,189068,Netherlands,29,ST,198.12,88.88888888888889
205,188152,Brazil,26,LCM,155.44799999999998,66.21315192743764
206,186627,Italy,27,LS,188.976,87.98185941043084
207,185221,Brazil,30,LCB,188.976,78.00453514739229
208,184942,Brazil,28,CAM,176.784,68.02721088435374
209,179944,Brazil,31,LCB,188.976,86.16780045351473
210,179783,Germany,29,GK,201.16799999999998,97.95918367346938
211,178088,Spain,30,RM,173.73600000000002,63.038548752834465
212,178086,Spain,31,GK,192.024,92.06349206349206
213,178005,Portugal,30,GK,192.024,83.90022675736961
214,177683,Switzerland,29,GK,182.88,78.91156462585033
215,177610,Spain,29,CDM,195.072,86.16780045351473
216,177457,Germany,29,RB,185.928,81.17913832199547
217,176266,Brazil,31,LDM,155.44799999999998,78.00453514739229
218,163705,France,33,GK,185.928,82.08616780045351
219,162895,Spain,31,CM,155.44799999999998,77.09750566893423
220,162240,Belgium,30,CM,185.928,82.08616780045351
221,156616,France,35,LM,173.73600000000002,72.10884353741497
222,104389,Norway,33,GK,192.024,82.08616780045351
223,53302,Italy,34,RDM,182.88,82.99319727891157
224,24630,Spain,35,GK,188.976,92.06349206349206
225,236583,Czech Republic,26,GK,198.12,81.17913832199547
226,235243,Netherlands,18,RCB,188.976,88.88888888888889
227,231866,Spain,22,CM,192.024,82.08616780045351
228,230658,Brazil,21,LCM,173.73600000000002,73.01587301587301
229,230621,Italy,19,GK,198.12,89.79591836734694
230,230258,Brazil,30,RCM,179.83200000000002,69.84126984126983
231,230225,Brazil,34,RCB,155.7528,82.08616780045351
232,230168,Brazil,30,GK,192.024,84.80725623582767
233,227055,Portugal,23,RM,176.784,72.10884353741497
234,224411,Portugal,21,LM,155.44799999999998,68.02721088435374
235,223959,Uruguay,22,LCM,170.688,63.945578231292515
236,222737,Brazil,21,RW,176.784,73.92290249433107
237,221087,Spain,23,GK,188.976,77.09750566893423
238,220814,France,22,LB,182.88,76.19047619047619
239,220440,France,23,LCB,185.928,81.17913832199547
240,216354,Croatia,27,LCM,155.44799999999998,73.01587301587301
241,216267,Scotland,24,LB,155.44799999999998,63.945578231292515
242,216194,Spain,28,RCM,155.7528,79.81859410430839
243,212404,Italy,24,RM,185.928,77.09750566893423
244,212194,Germany,22,LM,185.928,83.90022675736961
245,211320,Italy,23,CB,192.024,83.90022675736961
246,210617,Spain,23,RM,182.88,67.12018140589569
247,210514,Portugal,24,RB,182.88,73.92290249433107
248,210413,Italy,23,LCB,188.976,78.00453514739229
249,209989,Ghana,25,CDM,185.928,77.09750566893423
250,209297,Brazil,25,CM,173.73600000000002,63.945578231292515
251,208830,England,31,ST,155.44799999999998,73.92290249433107
252,208596,Italy,24,LS,155.7528,72.10884353741497
253,208448,Sweden,26,LM,155.44799999999998,73.92290249433107
254,207494,England,25,CAM,179.83200000000002,62.131519274376416
255,207471,Argentina,29,LCM,185.928,82.08616780045351
256,205678,Bosnia Herzegovina,28,RM,176.784,63.038548752834465
257,205452,Germany,25,CB,192.024,84.80725623582767
258,203551,Italy,27,RB,176.784,67.12018140589569
259,203263,England,25,LCB,195.072,99.77324263038548
260,202371,Belgium,26,RM,192.024,89.79591836734694
261,201956,Senegal,27,CB,198.12,84.80725623582767
262,201455,Central African Rep.,25,CM,188.976,79.81859410430839
263,201400,Brazil,25,CAM,179.83200000000002,71.20181405895691
264,201305,Brazil,27,LCB,188.976,78.91156462585033
265,201153,Spain,25,ST,188.976,84.80725623582767
266,199987,Netherlands,29,GK,185.928,82.99319727891157
267,199451,France,27,RS,173.73600000000002,68.02721088435374
268,198951,DR Congo,27,ST,182.88,73.01587301587301
269,198950,Spain,26,RCM,179.83200000000002,69.84126984126983
270,198717,Ivory Coast,25,LS,155.7528,66.21315192743764
271,198706,Spain,25,CF,182.88,73.92290249433107
272,198164,Spain,28,LF,173.73600000000002,63.945578231292515
273,198141,Spain,27,CB,182.88,73.01587301587301
274,197655,Uruguay,27,RCB,198.12,92.06349206349206
275,195093,Brazil,26,ST,188.976,92.9705215419501
276,193525,Russia,27,RB,188.976,79.81859410430839
277,193469,Spain,29,LCB,185.928,78.00453514739229
278,193283,Denmark,26,LCM,182.88,78.91156462585033
279,192984,Belgium,26,GK,201.16799999999998,86.16780045351473
280,192318,Germany,26,CM,179.83200000000002,74.82993197278911
281,192227,Germany,26,RCB,182.88,82.08616780045351
282,191180,Argentina,29,CAM,188.976,78.00453514739229
283,189505,Spain,30,RW,173.73600000000002,64.85260770975056
284,189125,Italy,28,CM,155.7528,74.82993197278911
285,189117,Switzerland,27,GK,188.976,84.80725623582767
